п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"91395";"ООО ББС ( Офис Сервис Бюро Бизнеса";"Москва, ул. Маршала Бирюзова д.2";"САО+СЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7904203";"37.5014135";"08.04.2025";"https://durnovcev2000.kaiten.ru/33681057"
"ТО-1218";"Тен РИП Кулагина Ирина Евгеньевна/Кулинария «Ля Фантази»егина Витальевна";"Москва г, Маршала Бирюзова ул, дом № 13";"САО+СЗАО";"Гранит";"Химич А.";"КВ";"55.792194";"37.494934";"08.04.2025";"https://durnovcev2000.kaiten.ru/33681071"
"137377";"ООО «Эдельвейс» / Магазин-Гастроном";"Москва г, ул Дегунинская, д. 17";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8674101";"37.5295839";"07.04.2025";"https://durnovcev2000.kaiten.ru/33686207"
"ТБ№ 168";"ИП Пономарёв Александр Викторович/(Wildberries)";"Москва г, Сусанина, дом 8, корпус 1";"САО+СЗАО";"Технологии Безопасности";"Сергеев Н.Р.";"КВ";"55.870925";"37.5282419";"07.04.2025";"https://durnovcev2000.kaiten.ru/33680744"
"130703";"Косметология «Nova Me»";"г. Москва, Дмитровское шоссе, д.107/2";"САО+СЗАО";"Гранит";"Олейник К.";"КВ";"55.8796233";"37.5412615";"07.04.2025";"https://durnovcev2000.kaiten.ru/33681219"
"131938";"ООО «ДокФарма» ООО «ДокФарма»";"г. Москва, Дмитровское шоссе, 107 корп. 4, пом.7Г";"САО+СЗАО";"Гранит";"Чиграй А.С.";"КВ";"55.8806364";"37.5389025";"07.04.2025";"https://durnovcev2000.kaiten.ru/33681260"
"138418";"ООО ""ГОРИЗОНТ-М""";"Москва, шоссе Дмитровское, д. 107, к. 3";"САО+СЗАО";"Секьюрикоп-техник Краснодар";"Озеров С.";"КВ";"55.8805422";"37.5421299";"07.04.2025";"https://durnovcev2000.kaiten.ru/40187450"
"138046";"ООО «Гард-НН»/(компьютерный клуб)";"Химки, пр-кт Мельникова, д. 2Б";"САО+СЗАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.90155439999999";"37.4065477";"04.04.2025";"https://durnovcev2000.kaiten.ru/36902677"
"137197";"ИП Беляев Алексей Вячеславович/Кладовка ""СКЛАДНО""";"Москва г, ш Ленинградское, д. 94, к. 1";"САО+СЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8561896";"37.4703192";"04.04.2025";"https://durnovcev2000.kaiten.ru/33680995"
"133661";"ООО ""Здоровая нация""/LabQuest";"Москва г, Ильменский проезд, дом 17, строение 1";"САО+СЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.861205";"37.539373";"03.04.2025";"https://durnovcev2000.kaiten.ru/33680746"
