п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"ТО-181ТБ";"Нотариус  Аксючиц И.В. /офис";"Москва г, Народная ул, дом 12";"ЦАО";"Технологии Безопасности";"Епуре А.А.";"М";"55.7381988";"37.6503941";"19.05.2025";"https://durnovcev2000.kaiten.ru/32562962"
"90934";"АО «Азиатско-Тихоокеанский Банк» Офис банка";"Москва г, Александра Солженицына ул, дом 8, строение 1";"ЦАО";"Технологии Безопасности";"Супонников М.С.";"М";"55.7425854";"37.6586942";"19.05.2025";"https://durnovcev2000.kaiten.ru/32562866"
"131566";"ООО ""АлХрис"" Хостел ""ХРИСТАЛ""";"г. Москва, Кривоколенный переулок, д. 4, с. 3";"ЦАО";"Гранит";"Дубовик А.С.";"М";"55.760709";"37.6337136";"19.05.2025";"https://durnovcev2000.kaiten.ru/32562282"
"136890";"ООО «Гард-НН»/(компьютерный клуб)";"Москва г, ул Нижегородская, д. 2, к. 1";"ЦАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.7386351";"37.6743021";"18.05.2025";"https://durnovcev2000.kaiten.ru/33294908"
"1243";"ООО ""НАТУРА СИБЕРИКА""/Магазин «Organic Shop»";"Москва г, Пятницкая ул, дом № 31, строение 3";"ЦАО";"Аллигатор";"Ахметвалиева В.М.";"КВ";"55.7382018";"37.6282054";"18.05.2025";"https://durnovcev2000.kaiten.ru/33814914"
"ТО- № 907ТБ";"ООО «Бизнес Проект» / Салон красоты";"Москва г, улица Садовая-Черногрязская, д. 3Б, подъезд 7";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.76744830000001";"37.6530862";"17.05.2025";"https://durnovcev2000.kaiten.ru/34747978"
"133868";"ООО «ЭЛДОРА ТРЕЙД»/Аптека «Еаптека»";"Москва г, Факельный Б. пер, дом № 6/12";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.755826";"37.6173";"17.05.2025";"https://durnovcev2000.kaiten.ru/37877428"
"ТО-№ 341ТБ";"ИП Зейналова Р.А./кофейня SEDELICE(French Bakery)";"Москва г, Кузнецкий Мост ул, дом 18/7";"ЦАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.7618945";"37.62268299999999";"17.05.2025";"https://durnovcev2000.kaiten.ru/32562624"
"138010";"ИП Хисамутдинов Ришат Рашитович (Кофейня ""Surf Coffee"")";"Москва ул Таганская, д. 1/2, стр. 2";"ЦАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.7414499";"37.6575115";"17.05.2025";"https://durnovcev2000.kaiten.ru/37024533"
"136638";"ООО ""ВИНВАЙБ"", Магазин алкольной продукции ""ВИНВАЙБ""";"Москва г, Мясницкий проезд, дом № 4, строение 1";"ЦАО";"Секьюрикоп-техник Краснодар";"Попов И.";"КВ";"55.7645656";"37.6366762";"17.05.2025";"https://durnovcev2000.kaiten.ru/32562114"
"№ 1138ТБ";"ИП Бескрайняя Елена Сергеевна / Массажный Салон «2/4 Bar Body Studio»";"Москва г, пр-кт Олимпийский, д. 12";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7779329";"37.6222028";"13.05.2025";"https://durnovcev2000.kaiten.ru/43548766"
"137968";"ООО Натура Сиберика\Магазин Натура Сиберика";"Москва г, пр-кт Мира, д. 46";"ЦАО";"Аллигатор";"Ахметвалиева В.М.";"КВ";"55.7811751";"37.6339255";"13.05.2025";"https://durnovcev2000.kaiten.ru/36612733"
"151496";"ООО МАМИЛА";"Москва г, Краснопрудная ул, дом № 26";"ЦАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.778597";"37.6636473";"13.05.2025";"https://durnovcev2000.kaiten.ru/32562111"
"130050";"ООО Фанагория-Розничная сеть магазин ""Фаногории""";"Москва, Талалихина, 2/1, кор. 1";"ЦАО";"Гранит";"Озеров С.";"М";"55.738252";"37.673378";"13.05.2025";"https://durnovcev2000.kaiten.ru/33814943"
"91073";"Аптека ""Планета Здоровья""";"Москва, ул. Нижегородская 1а";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7390477";"37.6753709";"13.05.2025";"https://durnovcev2000.kaiten.ru/33814939"
"90620";"ООО""Ретрейдинг"" офис";"Москва, Шлюзовая набережная., д. 4";"ЦАО";"Гранит";"Ситоленко Ю.В.";"КВ";"55.7315458";"37.6443953";"12.05.2025";"https://durnovcev2000.kaiten.ru/33814783"
"136161";"ООО «АРТБРЮТ ГАЛЕРЕЯ»/(art&brut gallery)";"Москва г, Армянский пер, дом № 1/8, строение 1, офис 22";"ЦАО";"Технологии Безопасности";"Вершинина Е.В.";"КВ";"55.7596402";"37.6367933";"12.05.2025";"https://durnovcev2000.kaiten.ru/32562340"
"ТО-№ 5468";"ИП Бурхонов Мирбахтиер Урокович (Кафе-Пекарня)";"г. Москва ул большая татарская дом 20, строение 2";"ЦАО";"Гранит";"Христенко Е.А.";"КВ";"55.6742176";"37.6702952";"12.05.2025";"https://durnovcev2000.kaiten.ru/33814927"
